"","Population","Sex"
"HG00096","GBR","MALE"
"HG00097","GBR","FEMALE"
"HG00099","GBR","FEMALE"
"HG00100","GBR","FEMALE"
"HG00101","GBR","MALE"
"HG00102","GBR","FEMALE"
"HG00103","GBR","MALE"
"HG00104","GBR","FEMALE"
"HG00106","GBR","FEMALE"
"HG00108","GBR","MALE"
"HG00109","GBR","MALE"
"HG00110","GBR","FEMALE"
"HG00111","GBR","FEMALE"
"HG00112","GBR","MALE"
"HG00114","GBR","MALE"
"HG00116","GBR","MALE"
"HG00117","GBR","MALE"
"HG00118","GBR","FEMALE"
"HG00119","GBR","MALE"
"HG00120","GBR","FEMALE"
"HG00121","GBR","FEMALE"
"HG00122","GBR","FEMALE"
"HG00123","GBR","FEMALE"
"HG00124","GBR","FEMALE"
"HG00125","GBR","FEMALE"
"HG00126","GBR","MALE"
"HG00127","GBR","FEMALE"
"HG00128","GBR","FEMALE"
"HG00129","GBR","MALE"
"HG00130","GBR","FEMALE"
"HG00131","GBR","MALE"
"HG00133","GBR","FEMALE"
"HG00134","GBR","FEMALE"
"HG00135","GBR","FEMALE"
"HG00136","GBR","MALE"
"HG00137","GBR","FEMALE"
"HG00138","GBR","MALE"
"HG00139","GBR","MALE"
"HG00141","GBR","MALE"
"HG00142","GBR","MALE"
"HG00143","GBR","MALE"
"HG00146","GBR","FEMALE"
"HG00148","GBR","MALE"
"HG00149","GBR","MALE"
"HG00150","GBR","FEMALE"
"HG00151","GBR","MALE"
"HG00152","GBR","MALE"
"HG00154","GBR","FEMALE"
"HG00155","GBR","MALE"
"HG00156","GBR","MALE"
"HG00158","GBR","FEMALE"
"HG00159","GBR","MALE"
"HG00160","GBR","MALE"
"HG00171","FIN","FEMALE"
"HG00173","FIN","FEMALE"
"HG00174","FIN","FEMALE"
"HG00176","FIN","FEMALE"
"HG00177","FIN","FEMALE"
"HG00178","FIN","FEMALE"
"HG00179","FIN","FEMALE"
"HG00180","FIN","FEMALE"
"HG00182","FIN","MALE"
"HG00183","FIN","MALE"
"HG00185","FIN","MALE"
"HG00186","FIN","MALE"
"HG00187","FIN","MALE"
"HG00188","FIN","MALE"
"HG00189","FIN","MALE"
"HG00231","GBR","FEMALE"
"HG00232","GBR","FEMALE"
"HG00233","GBR","FEMALE"
"HG00234","GBR","MALE"
"HG00235","GBR","FEMALE"
"HG00236","GBR","FEMALE"
"HG00238","GBR","FEMALE"
"HG00239","GBR","FEMALE"
"HG00240","GBR","FEMALE"
"HG00242","GBR","MALE"
"HG00243","GBR","MALE"
"HG00244","GBR","MALE"
"HG00245","GBR","FEMALE"
"HG00246","GBR","MALE"
"HG00247","GBR","FEMALE"
"HG00249","GBR","FEMALE"
"HG00250","GBR","FEMALE"
"HG00251","GBR","MALE"
"HG00252","GBR","MALE"
"HG00253","GBR","FEMALE"
"HG00255","GBR","FEMALE"
"HG00256","GBR","MALE"
"HG00257","GBR","FEMALE"
"HG00258","GBR","FEMALE"
"HG00259","GBR","FEMALE"
"HG00260","GBR","MALE"
"HG00261","GBR","FEMALE"
"HG00262","GBR","FEMALE"
"HG00263","GBR","FEMALE"
"HG00264","GBR","MALE"
"HG00265","GBR","MALE"
"HG00266","FIN","FEMALE"
"HG00267","FIN","MALE"
"HG00268","FIN","FEMALE"
"HG00269","FIN","FEMALE"
"HG00271","FIN","MALE"
"HG00272","FIN","FEMALE"
"HG00273","FIN","MALE"
"HG00274","FIN","FEMALE"
"HG00275","FIN","FEMALE"
"HG00276","FIN","FEMALE"
"HG00277","FIN","MALE"
"HG00278","FIN","MALE"
"HG00280","FIN","MALE"
"HG00281","FIN","FEMALE"
"HG00282","FIN","FEMALE"
"HG00284","FIN","MALE"
"HG00285","FIN","FEMALE"
"HG00306","FIN","FEMALE"
"HG00309","FIN","FEMALE"
"HG00310","FIN","MALE"
"HG00311","FIN","MALE"
"HG00312","FIN","MALE"
"HG00313","FIN","FEMALE"
"HG00315","FIN","FEMALE"
"HG00319","FIN","FEMALE"
"HG00320","FIN","FEMALE"
"HG00321","FIN","MALE"
"HG00323","FIN","FEMALE"
"HG00324","FIN","FEMALE"
"HG00325","FIN","MALE"
"HG00326","FIN","FEMALE"
"HG00327","FIN","FEMALE"
"HG00328","FIN","FEMALE"
"HG00329","FIN","MALE"
"HG00330","FIN","FEMALE"
"HG00331","FIN","FEMALE"
"HG00332","FIN","FEMALE"
"HG00334","FIN","FEMALE"
"HG00335","FIN","MALE"
"HG00336","FIN","MALE"
"HG00337","FIN","FEMALE"
"HG00338","FIN","MALE"
"HG00339","FIN","FEMALE"
"HG00341","FIN","MALE"
"HG00342","FIN","MALE"
"HG00343","FIN","FEMALE"
"HG00344","FIN","FEMALE"
"HG00345","FIN","MALE"
"HG00346","FIN","FEMALE"
"HG00349","FIN","FEMALE"
"HG00350","FIN","FEMALE"
"HG00351","FIN","MALE"
"HG00353","FIN","FEMALE"
"HG00355","FIN","FEMALE"
"HG00356","FIN","FEMALE"
"HG00358","FIN","MALE"
"HG00359","FIN","FEMALE"
"HG00360","FIN","MALE"
"HG00361","FIN","FEMALE"
"HG00362","FIN","FEMALE"
"HG00364","FIN","FEMALE"
"HG00366","FIN","MALE"
"HG00367","FIN","FEMALE"
"HG00369","FIN","MALE"
"HG00372","FIN","MALE"
"HG00373","FIN","FEMALE"
"HG00375","FIN","MALE"
"HG00376","FIN","FEMALE"
"HG00377","FIN","FEMALE"
"HG00378","FIN","FEMALE"
"HG00381","FIN","FEMALE"
"HG00382","FIN","MALE"
"HG00383","FIN","FEMALE"
"HG00384","FIN","FEMALE"
"HG01334","GBR","MALE"
"NA06984","CEU","MALE"
"NA06986","CEU","MALE"
"NA06989","CEU","FEMALE"
"NA06994","CEU","MALE"
"NA07037","CEU","FEMALE"
"NA07048","CEU","MALE"
"NA07051","CEU","MALE"
"NA07056","CEU","FEMALE"
"NA07347","CEU","MALE"
"NA07357","CEU","MALE"
"NA10847","CEU","FEMALE"
"NA10851","CEU","MALE"
"NA11829","CEU","MALE"
"NA11830","CEU","FEMALE"
"NA11831","CEU","MALE"
"NA11843","CEU","MALE"
"NA11892","CEU","FEMALE"
"NA11893","CEU","MALE"
"NA11894","CEU","FEMALE"
"NA11920","CEU","FEMALE"
"NA11930","CEU","MALE"
"NA11931","CEU","FEMALE"
"NA11992","CEU","MALE"
"NA11993","CEU","FEMALE"
"NA11994","CEU","MALE"
"NA11995","CEU","FEMALE"
"NA12004","CEU","FEMALE"
"NA12006","CEU","FEMALE"
"NA12043","CEU","MALE"
"NA12044","CEU","FEMALE"
"NA12045","CEU","MALE"
"NA12058","CEU","FEMALE"
"NA12144","CEU","MALE"
"NA12154","CEU","MALE"
"NA12155","CEU","MALE"
"NA12249","CEU","FEMALE"
"NA12272","CEU","MALE"
"NA12273","CEU","FEMALE"
"NA12275","CEU","FEMALE"
"NA12282","CEU","MALE"
"NA12283","CEU","FEMALE"
"NA12286","CEU","MALE"
"NA12287","CEU","FEMALE"
"NA12340","CEU","MALE"
"NA12341","CEU","FEMALE"
"NA12342","CEU","MALE"
"NA12347","CEU","MALE"
"NA12348","CEU","FEMALE"
"NA12383","CEU","FEMALE"
"NA12399","CEU","MALE"
"NA12400","CEU","FEMALE"
"NA12413","CEU","MALE"
"NA12489","CEU","FEMALE"
"NA12546","CEU","MALE"
"NA12716","CEU","MALE"
"NA12717","CEU","FEMALE"
"NA12718","CEU","FEMALE"
"NA12749","CEU","FEMALE"
"NA12750","CEU","MALE"
"NA12751","CEU","FEMALE"
"NA12761","CEU","FEMALE"
"NA12763","CEU","FEMALE"
"NA12775","CEU","MALE"
"NA12777","CEU","MALE"
"NA12778","CEU","FEMALE"
"NA12812","CEU","MALE"
"NA12814","CEU","MALE"
"NA12815","CEU","FEMALE"
"NA12827","CEU","MALE"
"NA12829","CEU","MALE"
"NA12830","CEU","FEMALE"
"NA12842","CEU","MALE"
"NA12843","CEU","FEMALE"
"NA12872","CEU","MALE"
"NA12873","CEU","FEMALE"
"NA12874","CEU","MALE"
"NA12889","CEU","MALE"
"NA12890","CEU","FEMALE"
"NA20502","TSI","FEMALE"
"NA20503","TSI","FEMALE"
"NA20504","TSI","FEMALE"
"NA20505","TSI","FEMALE"
"NA20506","TSI","FEMALE"
"NA20507","TSI","FEMALE"
"NA20508","TSI","FEMALE"
"NA20509","TSI","MALE"
"NA20510","TSI","MALE"
"NA20512","TSI","MALE"
"NA20513","TSI","MALE"
"NA20515","TSI","MALE"
"NA20516","TSI","MALE"
"NA20517","TSI","FEMALE"
"NA20518","TSI","MALE"
"NA20519","TSI","MALE"
"NA20520","TSI","MALE"
"NA20521","TSI","MALE"
"NA20524","TSI","MALE"
"NA20525","TSI","MALE"
"NA20527","TSI","MALE"
"NA20528","TSI","MALE"
"NA20529","TSI","FEMALE"
"NA20530","TSI","FEMALE"
"NA20531","TSI","FEMALE"
"NA20532","TSI","MALE"
"NA20534","TSI","MALE"
"NA20535","TSI","FEMALE"
"NA20536","TSI","MALE"
"NA20537","TSI","MALE"
"NA20538","TSI","MALE"
"NA20539","TSI","MALE"
"NA20540","TSI","FEMALE"
"NA20541","TSI","FEMALE"
"NA20542","TSI","FEMALE"
"NA20543","TSI","MALE"
"NA20544","TSI","MALE"
"NA20581","TSI","MALE"
"NA20582","TSI","FEMALE"
"NA20585","TSI","FEMALE"
"NA20586","TSI","MALE"
"NA20588","TSI","MALE"
"NA20589","TSI","FEMALE"
"NA20752","TSI","MALE"
"NA20754","TSI","MALE"
"NA20756","TSI","FEMALE"
"NA20757","TSI","FEMALE"
"NA20758","TSI","MALE"
"NA20759","TSI","MALE"
"NA20760","TSI","FEMALE"
"NA20761","TSI","FEMALE"
"NA20765","TSI","MALE"
"NA20766","TSI","FEMALE"
"NA20768","TSI","FEMALE"
"NA20769","TSI","FEMALE"
"NA20770","TSI","MALE"
"NA20771","TSI","FEMALE"
"NA20772","TSI","FEMALE"
"NA20773","TSI","FEMALE"
"NA20774","TSI","FEMALE"
"NA20778","TSI","MALE"
"NA20783","TSI","MALE"
"NA20785","TSI","MALE"
"NA20786","TSI","FEMALE"
"NA20787","TSI","MALE"
"NA20790","TSI","FEMALE"
"NA20792","TSI","MALE"
"NA20795","TSI","FEMALE"
"NA20796","TSI","MALE"
"NA20797","TSI","FEMALE"
"NA20798","TSI","MALE"
"NA20799","TSI","FEMALE"
"NA20800","TSI","FEMALE"
"NA20801","TSI","MALE"
"NA20802","TSI","FEMALE"
"NA20803","TSI","MALE"
"NA20804","TSI","FEMALE"
"NA20805","TSI","MALE"
"NA20806","TSI","MALE"
"NA20807","TSI","FEMALE"
"NA20808","TSI","FEMALE"
"NA20809","TSI","MALE"
"NA20810","TSI","MALE"
"NA20811","TSI","MALE"
"NA20812","TSI","MALE"
"NA20813","TSI","FEMALE"
"NA20814","TSI","MALE"
"NA20815","TSI","MALE"
"NA20816","TSI","MALE"
"NA20819","TSI","FEMALE"
"NA20826","TSI","FEMALE"
"NA20828","TSI","FEMALE"
